Function Number,Run Number,Error,Time
1,1,2.2737367544323206e-13,3.233469247817993
1,2,2.2737367544323206e-13,3.0596189498901367
1,3,2.2737367544323206e-13,3.0116961002349854
2,1,1182477.9537500287,10.791563034057617
2,2,1177222.7057100488,11.496573448181152
2,3,1505043.9488096258,11.342429399490356
3,1,30427053.561224636,11.792448043823242
3,2,122879892.89439538,11.164624691009521
3,3,2063696445.4280343,11.728721380233765
4,1,239.78865313298581,9.03702187538147
4,2,691.0325943707979,8.932079553604126
4,3,661.096322215707,8.878117799758911
5,1,2.2737367544323206e-13,6.665075063705444
5,2,1.1368683772161603e-13,7.348580598831177
5,3,1.1368683772161603e-13,7.953416109085083
